question,answer,image_id
what is on the left side of the white oven on the floor and on right side of the blue armchair,A garbage bin is located to the left of the white oven on the floor and to the right of the blue armchair.,image1
what is on the left side of the fire extinguisher and on the right side of the chair,A table is located on the left side of the fire extinguisher and on the right side of the chair.,image1
what is between the the two white and black garbage bins,The answer is a chair.,image1
how many objects are between the fire extinguisher and the white oven on the floor,There are three objects positioned between the fire extinguisher and the white oven located on the floor.,image1
what is the largest object in this picture,The largest object in the picture is the washing machine.,image1
how many plastic bottles are between the white fridge and the oven,There are five plastic bottles positioned between the white refrigerator and the oven.,image2
what is under the white cabinet on the right side of the oven and and on the left side of the fridge,The answer is a sink.,image2
what is on the left side of the white sink and under the cabinet,The microwave is on the left side of the white sink and under the cabinet.,image2
how many white objects in this picture,There are nine white objects visible in the picture.,image2
what is under the pan,The oven is under the pan.,image2
what is on the right side of the black telephone and on the left side of the red chair,A desk is what's located on the right side of the black telephone and on the left side of the red chair.,image3
what is the largest brown objects,"A carton can be a large, brown object.",image3
what color is the chair in front of the white wall,The chair is red.,image3
what is on the right side of the notebook on the desk,Plastic cup of coffee,image4
what is on the right and left and in front of the papers on the desk,"A notebook is located to the right, left, and in front of the papers on the desk.",image4
what is on the desk and behind the black cup,A bottle is on the desk and behind the black cup.,image4
how many bottles are on the desk,There are eleven bottles on the desk.,image4
what is in front of the papers and notebook and bottles,"The chair is in front of the papers, notebook, and bottles.",image4
what is on the left side of the cabinet and on the right side of the chair,A whiteboard.,image5
what is in front of the door and on the right of the table,A chair is in front of the door and on the right of the table.,image5
how many chairs are on the right side of the table,There are three chairs positioned on the right side of the table.,image5
what is behind the whiteboard and in front of the wall,A stack of chairs.,image5
what is in front of the stacked chairs and on the left side of the table,A ladder is positioned in front of the stacked chairs and on the left side of the table.,image6
how many dark blue armchairs are in this picture,There are eight dark blue armchairs in the picture.,image6
what is in front of the monitor,The answer is a keyboard.,image6
what color is the chair in front of the wall on the left side of the stacked chairs,The chair in front of the wall on the left side of the stacked chairs is blue.,image6
what is in front of the black wall on the right side of the projector screen,The answer is a monitor.,image7
what color is the ladder between the projector screen and armchairs,The ladder positioned between the projector screen and the armchairs is red.,image7
how many monitors are in this picture,There are three monitors visible in the picture.,image7
what color is the wall behind the projector screen,The wall behind the projector screen is black.,image7
what is on the wall below the clock on the left side of the green curtain and on the right side of the gray door,The wall below the clock on the left side of the green curtain and on the right side of the gray door has a telephone.,image8
what color is the garbage bin in front of the gray door on the left side of the fire extinguisher,The garbage bin in front of the gray door on the left side of the fire extinguisher is blue.,image8
how many red objects are in this picture,There is one red object in the picture.,image8
what color is the red object in front of the wall on the left side of the desk,The red object in front of the wall on the left side of the desk is a paper tray.,image9
what is above the desk in fornt of the scissor,Above the desk in front of the scissor is a hole puncher.,image9
what is the largest blue object in this picture,The largest blue object in the picture is the garbage bin.,image9
what is on the wall on the left side of the door above the desk,A framed certificate is on the wall on the left side of the door above the desk.,image9
what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,A garbage bin is on the floor to the right of the image behind the door frame and in front of the cabinet.,image10
how many blue objects are in this picture on the top of the white cabinet not on the floor,One blue object is located on top of the white cabinet and not on the floor in the picture.,image10
what is the largest white object on the left side of the picture,The largest white object on the left side of the picture is a printer.,image10
what is between the paper holder and tape dispenser below the white paper rack,"The object between the paper holder and tape dispenser, located beneath the white paper rack, is a hole puncher.",image11
what is the blue object in the black pen stand,Blue scissors.,image11
what color is the fax machine below the paper rack in front of the wall on the top of the cabinet,The fax machine below the paper rack in front of the wall on the top of the cabinet is white.,image11
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,There is only one blue object that meets the specified criteria.,image11
what is on the right side of the wall on the top of the cabinet on the left side of the hole puncher,A paper holder.,image12
what color is the tape dispenser on the right side of the hole puncher in front of the wall,The tape dispenser on the right side of the hole puncher in front of the wall is gray in color.,image12
how many table fans are in this picture,There is one table fan in the picture.,image13
what is the black and white object on the cabinet door between the pictures,The black and white object on the cabinet door between the pictures is a clock.,image13
what is in fornt of the window on the left side of the fan coil on the right side of the wall,A potted ornamental plant.,image14
what color is the ornamental plant in fornt of the fan coil but not close to sofa,"The ornamental plant in front of the fan coil, but not close to the sofa, is red.",image14
what the largest light green object in this picture,The largest light green object in this picture is the sofa.,image14
what is in fornt of the white wall below the colorful picture but not close to window,A sofa is in front of the white wall below the colorful picture but not close to the window.,image14
how many ornamental plants are in this picture,There are three ornamental plants in the picture.,image14
what is the red object on the wall on the left side of the corridor,The red object on the wall on the left side of the corridor is a fire extinguisher.,image15
what is on the wall on the left side of the door and on the right side of the picture,A fire alarm is visible on the wall to the left of the door and on the right side of the picture.,image15
what is the smallest black object on the table below the bookshelf,Adhesive tape dispenser,image16
what is the white object on the table on the right side of the wall below the bookshelf,The white object on the table on the right side of the wall below the bookshelf is a printer.,image16
what is in front of the wall on the left side of the picture,"A ladder is positioned on the left side of the picture, directly in front of the wall.",image16
what color is the table below the printer but not below the tape dispenser or paper tray,"The table under the printer, but not under the tape dispenser or paper tray, is brown.",image16
what is on the right side of the brown table and on the left side of the door frame in fornt of the wall,A ladder is positioned to the right of the brown table and to the left of the door frame located in front of the wall.,image17
what is the brown object above the file cabinet,The brown object above the file cabinet is a bookshelf.,image17
what is on the right side of the ladder,The doorway is on the right side of the ladder.,image18
how many ladders are in this picture,The total number of ladders present in the picture is one.,image18
how many chairs are around the conference table,There are six chairs around the conference table.,image19
what has been mounted on the ceiling between two ceiling lights,A projector is mounted on the ceiling between two ceiling lights.,image19
what color is the chair in front of the wall on the right side of the door behind the black chair,The chair described is pink.,image19
what color is the table below the computer case in front of the wall,The table located beneath the computer case that is positioned in front of the wall is brown.,image20
how many papers are on the wall on the left side of the modem,There is one paper on the wall to the left of the modem.,image20
what is on right side of the door way and on the left side of the armchair in frot of the wall,The water dispenser is located on the right side of the doorway and on the left side of the armchair in front of the wall.,image21
what is on the right side of the blue water carboy and on the left side of the black cables,The telephone cord is what's on the right side of the blue water carboy and on the left side of the black cables.,image21
what is on the table on the right side of the armchair in fornt of the wall,A hand sanitizer dispenser is on the table on the right side of the armchair in front of the wall.,image21
what is the largest blue object in this picture,The largest blue object in the picture is a water carboy.,image21
what is the brown object on the desk on the left side of the paper in fornt of the computer chair,The brown object on the desk on the left side of the paper in front of the computer chair is a paper tray.,image22
what color is the garbage bin on the floor on the left side of the desk,The garbage bin on the floor on the left side of the desk is purple.,image22
what is between the computer chair and sofa and on the right side of the column,"The wall divider is between the computer chair and sofa, and on the right side of the column.",image22
what color is the paper holder on the right side of the water spray bottle,The paper holder on the right side of the water spray bottle is black.,image22
how many tape dispensers are on the desk,There is one tape dispenser on the desk.,image22
how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,"There are three hanging hooks on the wall to the left of the brown board, positioned underneath the red fire alarm.",image23
what color are the paper trays in the bookshelf on the left side of the wall divider not on the desk in front of the computer chair,"The paper trays in the bookshelf to the left of the wall divider, specifically those not located on the desk in front of the computer chair, are black in color.",image23
what is the smallest dark blue object on the desk,The smallest dark blue object on the desk is a pen.,image23
what is the black and white object on the top right of the brown board,The black and white object on the top right of the brown board is a clock.,image23
what color is the garbage bin in front of the white board on the floor,The garbage bin in front of the whiteboard on the floor is blue.,image28
how many ceiling lamps are off in this picture,There are two ceiling lamps that are off in the picture.,image28
what is the black object on the right side of the flipped table,The black object on the right side of the flipped table is a chair.,image28
what is the largest white object in this picture,The largest white object in the picture is the whiteboard.,image28
what is the blue object on the left side electrical outlet behind the computer case,The blue object on the left side electrical outlet behind the computer case is a water carboy.,image30
how many black objects are on the desk,There are three black objects on the desk.,image30
how many red objects are on the wall,There is one red object on the wall.,image30
what are the small objects below the whiteboard,The small objects below the whiteboard are a whiteboard eraser and a whiteboard marker.,image33
